temperature,exhaust_vacuum,amb_pressure,r_humidity,energy_production,log_temp,sqrt_temp,log_ev,sqrt_ev,log_ap,sqrt_ap,log_rh,sqrt_rh
9.59,38.56,1017.01,60.1,481.3,2.2607208888953467,3.0967725134404045,3.652215469742345,6.20966987850401,6.924622228841909,31.890594224629933,4.096009841541162,7.752418977325722
12.04,42.34,1019.72,94.67,465.36,2.488234439880675,3.4698703145794942,3.745732265706719,6.5069193939989765,6.9272833587896825,31.933054974430494,4.5503971601407995,9.729850975220534
13.87,45.08,1024.42,81.69,465.48,2.6297282343267403,3.7242448899072143,3.8084386891715756,6.714164132637808,6.9318818777583715,32.00656182722537,4.4029315953537775,9.038252043398657
13.72,54.3,1017.89,79.08,467.05,2.6188546222977394,3.704051835490427,3.9945242269398897,7.368853370776216,6.925487136262282,31.904388412881385,4.370459998302416,8.892693630166283
15.14,49.64,1023.78,75.0,463.58,2.717340248009303,3.891015291668744,3.9047969603364066,7.045565981523415,6.931256938767229,31.996562315348815,4.31748811353631,8.660254037844387
23.63,60.93,1006.41,83.06,439.9,3.1625170911988163,4.861069841094653,4.109725664260403,7.805767098754613,6.914144822303806,31.723965704180177,4.419563238202607,9.113725912051558
22.99,61.02,1009.88,81.56,440.85,3.1350593387750902,4.794788837894741,4.1112016792885235,7.811529939774922,6.9175867908954265,31.77860915773376,4.401338945706255,9.03105752390051
12.85,40.0,1015.89,68.85,463.74,2.553343811341229,3.5846896657869842,3.6888794541139363,6.324555320336759,6.9235203545605195,31.873029350847716,4.231930225174664,8.297590011563598
29.88,68.08,1011.14,55.78,429.33,3.3971893602646164,5.4662601474865795,4.220683484265119,8.251060537894507,6.918833686189138,31.79842763408279,4.021415382199343,7.468600939935136
23.22,66.56,1002.47,85.39,437.11,3.1450139762697455,4.818713521262703,4.198103796512953,8.158431221748456,6.910222233545925,31.66180664459942,4.447228997919515,9.240670971309388
9.02,38.08,1019.02,69.98,478.32,2.199444334074532,3.003331483536241,3.6396892099231644,6.170899448216605,6.926596660115494,31.922092663232466,4.248209486939542,8.36540495134575
26.12,75.6,1017.41,72.31,439.68,3.2627013044082305,5.110772935672255,4.3254562831854875,8.694826047713663,6.925015461316181,31.896865049719228,4.28096243218686,8.503528679318956
16.66,36.71,1013.68,70.66,466.07,2.8130106367386967,4.08166632639171,3.603049197508743,6.058877783880444,6.9213425524906524,31.838341665356882,4.257879641930999,8.405950273467004
29.56,52.84,1006.09,42.17,436.46,3.386422096080001,5.436910887627275,3.9672684796541247,7.269112738154499,6.913826809878765,31.718921797564306,3.7417090677584683,6.493843238021688
30.0,61.5,1009.4,48.63,435.6,3.4011973816621555,5.477225575051661,4.119037174812473,7.842193570679061,6.917111373906162,31.77105601014861,3.8842406244156944,6.973521348644457
30.39,70.98,1007.55,72.76,435.48,3.414113606928702,5.512712580935088,4.2623981472183505,8.424962907930219,6.915276920380983,31.741928107788286,4.287166353649922,8.52994724485445
20.88,47.45,1007.5,76.21,449.34,3.038791763014438,4.569463863518345,3.859676525055937,6.88839603971781,6.915227293820838,31.741140496207755,4.333492687678026,8.729833904490967
28.14,61.47,1009.69,64.66,435.35,3.337192051686243,5.304714883949938,4.118549250918918,7.840280607223188,6.9173986320293706,31.775619584832647,4.169142772297287,8.04114419718985
18.86,46.48,1007.28,78.47,452.0,2.937043277205311,4.342810150121693,3.8390221125436557,6.817624219623724,6.915008907693445,31.737674773051662,4.362716386139382,8.858329413608415
31.85,68.3,1014.76,47.06,428.72,3.4610373820181723,5.643580423808985,4.223909766576744,8.264381404557755,6.9224074103144515,31.855297832542707,3.8514233832992164,6.860029154456998
17.47,63.31,1015.28,88.22,450.68,2.8604851241459652,4.179712908801273,4.148043294556035,7.956758133813042,6.922919715501909,31.863458694874918,4.479833694676794,9.392550239418473
25.04,51.95,1005.56,66.53,449.45,3.2204745462318978,5.0039984012787215,3.9502817175452365,7.207634840916957,6.913299879237488,31.710566062434143,4.197652973753796,8.15659242576212
29.01,70.32,1007.26,60.55,429.23,3.367640598133313,5.386093203798093,4.253056253376921,8.38570211729465,6.914989052044016,31.73735968854372,4.1034694699991014,7.78138805098422
22.36,59.44,1013.1,84.74,446.75,3.1072736482868986,4.728636167014756,4.084967400409504,7.709734106958553,6.920770216059632,31.829231847470023,4.439587745198413,9.205433178292045
13.98,40.24,1017.19,87.45,467.2,2.637627736805664,3.7389838191679834,3.6948615257914836,6.343500610861483,6.924799202591265,31.89341624849869,4.471067201464611,9.35147047260483
19.6,59.21,1017.65,86.29,449.23,2.975529566236472,4.427188724235731,4.081090446543684,7.694803441284254,6.925251326598888,31.900626953086675,4.4577137165202165,9.28924108848511
12.51,43.67,1013.24,91.55,471.96,2.5265283244788197,3.5369478367654787,3.7766613674974696,6.608328079022711,6.920908396227049,31.831431007731965,4.51688527112052,9.568176419778222
22.76,58.96,1013.85,55.95,454.05,3.1250046092581303,4.770744176750625,4.076859247881081,7.678541528180987,6.921510244214473,31.841011290472544,4.024458434757935,7.479973261984297
19.65,44.89,1009.76,75.36,451.35,2.9780773383152703,4.4328320518603,3.804215052793841,6.7,6.917467957835929,31.776721039150658,4.3222766302681075,8.681013765684282
14.78,38.58,1017.02,82.4,460.54,2.6932749155200555,3.844476557348217,3.652734007477583,6.211280061307813,6.924632061538575,31.890751010285097,4.411585436915426,9.077444574328174
33.94,74.67,1015.94,31.16250000000001,427.98,3.52459425980608,5.825804665451804,4.3130784050476105,8.641180474911978,6.923569571276495,31.87381370341491,3.4392154488496764,5.582338219778519
7.55,42.85,1011.21,93.25,484.93,2.0215475632609334,2.7477263328068173,3.7577056450437887,6.545991139621257,6.918902912584201,31.799528298388328,4.535284058523925,9.656603957913983
5.62,41.38,1020.91,86.21,490.83,1.7263316639055997,2.3706539182259396,3.722797672317397,6.432728814430156,6.9284496654056715,31.951682271830382,4.456786180221833,9.284934033152847
20.76,59.04,1012.51,85.39,448.92,3.033028058297688,4.5563142999578075,4.078215180292217,7.683749084919419,6.920187675475131,31.819962287846916,4.447228997919515,9.240670971309388
18.44,39.72,1001.14,66.83,460.44,2.914522218128448,4.294182110716778,3.681854839176972,6.302380502635492,6.908894629675563,31.640796450152767,4.2021520815229785,8.174961773610931
12.78,41.04,1025.16,85.14,461.61,2.5478814489493886,3.5749125863438955,3.714547200862514,6.406246951218787,6.932603976951528,32.0181198698487,4.444296960400006,9.227133899537819
8.95,43.13,1017.56,94.85,479.14,2.191653532286764,2.9916550603303182,3.764218810659752,6.567343450741708,6.925162883637171,31.89921629131349,4.552296696381023,9.73909646733207
31.95,70.8,1008.38,66.26,432.79,3.4641721808235437,5.6524331044250316,4.259859000699674,8.414273587185052,6.9161003617176355,31.7549996063612,4.1935863968717495,8.140024569987489
9.95,41.82,1029.3725,69.44,477.52,2.2975725511705014,3.1543620591175006,3.7333746940004877,6.466838485689897,6.936704672270789,32.083835493905646,4.240463070352095,8.333066662399863
22.25,59.8,1016.79,69.02,451.64,3.1023420086122493,4.716990566028302,4.091005660956586,7.733045971672482,6.924405885051115,31.88714474517905,4.234396317669857,8.307827634225447
23.95,58.79,1010.45,74.34,448.32,3.175968323856924,4.893873721296862,4.073971772414164,7.667463726683029,6.918151055164257,31.787576189448608,4.308649164869106,8.62206471791995
32.5,73.68,1014.65,55.72,427.63,3.481240089335692,5.70087712549569,4.299731391947051,8.583705493549974,6.922299004422978,31.8535712283568,4.020339148911605,7.464583042608609
26.55,69.45,1013.92,52.22,434.55,3.279029747687948,5.152669211195301,4.240607069200353,8.333666660000267,6.9215792855752065,31.84211048281819,3.955465563270983,7.226340706055867
13.55,40.1,1015.7,86.68,474.59,2.60638654732571,3.681032463861192,3.6913763343125234,6.332456079595025,6.923333308945455,31.870048635042902,4.462223176668158,9.310209449845907
18.02,49.78,1003.86,100.09,451.41,2.8914822521801917,4.244997055358225,3.907613296939446,7.055494312945054,6.911607848297627,31.683749778080244,4.606069781230928,10.004498987955369
28.41,75.6,1018.48,56.07,440.28,3.3467411958660964,5.330103188494571,4.3254562831854875,8.694826047713663,6.92606659875339,31.913633450298324,4.026600910135581,7.487990384609211
24.6,63.94,1012.87,80.28,439.63,3.202746442938317,4.959838707054898,4.157945143631696,7.996249120681521,6.920543164325412,31.825618611426865,4.385520523928138,8.959910713840847
21.01,60.1,1010.93,78.6,450.99,3.044998514856909,4.583666654546336,4.096009841541162,7.752418977325722,6.91862597824554,31.795125412553414,4.364371699435161,8.8656641037206
23.34,45.61,1012.73,74.09,455.82,3.15016862685841,4.831148931672465,3.820126990723609,6.753517601961218,6.920404933677483,31.823419049498753,4.3052805704285655,8.607554821202129
30.89,74.87,1008.99,56.58,432.68,3.43043250693049,5.5578772926361015,4.315753276242594,8.652745229116595,6.916705109501722,31.764602941009667,4.035655565873421,7.521967827636595
28.41,74.16,1010.29,72.09,439.2,3.3467411958660964,5.330103188494571,4.306224921257599,8.611620056644394,6.917992697334617,31.785059383301455,4.277915338416487,8.490583018850943
26.5,66.75,1018.48,61.62,431.23,3.2771447329921766,5.1478150704935,4.200954297280359,8.170067319184096,6.92606659875339,31.913633450298324,4.120986493168521,7.849840762716146
23.48,65.12,1015.82,60.83,445.66,3.1561489949598958,4.845616575834287,4.176231721694285,8.069696400732806,6.923451447088461,31.871931224825396,4.108083088332614,7.7993589480161765
30.21,79.74,1006.82,54.03,430.83,3.4081729953985804,5.496362433464518,4.378771341953209,8.92972563968233,6.91455212798241,31.73042703778189,3.9895394478559743,7.35051018637482
25.3,58.46,1015.91,69.71,439.25,3.2308043957334744,5.029910535983717,4.0683427596831,7.645913941446111,6.923540041537585,31.873343094190794,4.244343779498307,8.349251463454673
27.28,72.58,1009.21,89.96,431.27,3.3061538329752613,5.223025942880239,4.284689401784925,8.519389649499546,6.916923125556495,31.768065726449258,4.499365127091115,9.484724561103501
27.71,62.39,1006.43,68.21,435.84,3.321793358874887,5.264028875300743,4.133405006122695,7.898734075787082,6.914164694722876,31.724280921716726,4.222591181666628,8.258934555982387
22.96,70.79,1005.68,93.93,434.47,3.133753571451366,4.791659420284375,4.259717747786098,8.413679337840254,6.913419208606576,31.712458119798914,4.542549824006424,9.691749068150703
8.6,36.66,1026.4,81.23,481.86,2.151762203259462,2.932575659723036,3.6016862424115588,6.0547502012882415,6.933812813301427,32.0374780530553,4.397284637062863,9.012768719988326
13.41,40.89,1010.85,89.61,472.4,2.596000697293587,3.661966684720111,3.7108855343765508,6.394528911499267,6.918546840060336,31.793867333182355,4.495466920896128,9.466255859631092
29.45,74.16,1010.49,64.87,438.11,3.3826939100975957,5.426785420486054,4.306224921257599,8.611620056644394,6.918190640703665,31.78820535985006,4.172385267224964,8.054191455385203
22.46,58.49,1011.5,70.54,448.46,3.111735949310297,4.739198244429114,4.068855799454934,7.647875521999557,6.9191896566078,31.804087787578503,4.256179924807906,8.398809439438425
28.77,58.33,1013.73,36.6,448.06,3.3593331775634567,5.3637673327615545,4.066116540765546,7.63740793725201,6.921391876505046,31.839126872450507,3.6000482404073204,6.04979338490167
25.61,52.36,1014.1,62.9,451.42,3.242982900211434,5.060632371551998,3.9581429410416993,7.236021006050217,6.921756798617951,31.84493680320311,4.141546163706395,7.930952023559341
19.62,62.96,1020.76,76.53,456.02,2.976549454137217,4.4294469180700204,4.1424996041091475,7.934733769950949,6.928302726869797,31.94933489135572,4.33768282082183,8.748142660016468
25.06,65.46,1014.37,38.82,443.03,3.221272949467922,5.005996404313531,4.181439269073034,8.090735442467514,6.922023009113146,31.849175813512034,3.658935577740864,6.230569797378085
6.54,39.33,1011.54,93.69,491.16,1.8779371654691073,2.5573423705088842,3.671987586443718,6.271363488110062,6.9192292010557646,31.80471663134259,4.539991459963097,9.679359482941006
29.22,72.39,1000.87,77.39,430.24,3.3748534063225533,5.405552700695831,4.28206816830505,8.508231308562316,6.908624900751495,31.63652951889635,4.348857573282368,8.79715863219483
17.47,43.77,1012.25,76.78,456.41,2.8604851241459652,4.179712908801273,3.778948651202804,6.615889962809237,6.919930854912271,31.815876539866068,4.340944189572651,8.762419757121888
22.08,45.61,1014.02,75.71,456.71,3.0946722214088944,4.698936049788292,3.820126990723609,6.753517601961218,6.9216779078224935,31.843680691779333,4.326910252115215,8.701149349367588
18.75,44.9,1007.99,75.76,452.77,2.9311937524164198,4.330127018922194,3.8044377947482086,6.700746227100382,6.915713527947183,31.74885824718741,4.327570448877823,8.704022058795578
24.55,58.86,1015.22,60.53,445.8,3.2007118542405295,4.954795656734998,4.075161742805327,7.672027111526653,6.92286061675774,31.862517163588944,4.103139109903596,7.780102827083971
18.5,51.43,1010.82,92.04,459.42,2.917770732084279,4.301162633521313,3.940221659786825,7.1714712576988,6.918517161626168,31.79339554058358,4.522223265167165,9.593747964169166
30.36,74.87,1008.96,61.87,435.31,3.4131259525274293,5.509990925582365,4.315753276242594,8.652745229116595,6.916675376356696,31.764130713746916,4.125035409542898,7.865748533992171
29.92,69.75,1009.12,67.15,441.5,3.3985271531062766,5.469917732470938,4.244917420701475,8.351646544245034,6.916833942915341,31.766649178029464,4.206928922969246,8.194510357550353
23.62,73.67,1007.0,90.8,438.33,3.1620938107692163,4.860041152089146,4.299595660694722,8.583122974768566,6.914730892718563,31.73326330524486,4.508659285607248,9.528903399657276
31.01,73.5,1010.92,48.61,432.41,3.4343097331123578,5.568662316930341,4.297285406218791,8.573214099741124,6.9186160863148825,31.794968155354393,3.883829271057364,6.972087205421343
19.84,65.48,1019.54,76.6,449.85,2.987700101856727,4.454211490264018,4.181744752502934,8.091971329657564,6.927106824163919,31.930236453869238,4.338597076746545,8.752142594816426
22.93,58.2,1017.75,54.09,444.95,3.132446096869813,4.788527957525152,4.063885354737392,7.628892449104261,6.925349587383089,31.90219428189854,3.9906493258833358,7.354590403278758
22.12,57.19,1007.56,76.5,442.51,3.096482176654134,4.703190406521939,4.046379057927225,7.5624070242218515,6.915286845397484,31.742085627759245,4.33729074083249,8.74642784226795
11.42,40.43,1025.5,75.85,490.02,2.435366204227864,3.37934904974316,3.6995720836526793,6.358458932791813,6.932935577512436,32.02342892321183,4.328757705794541,8.709190547921201
12.51,41.14,1027.36,87.86,463.79,2.5265283244788197,3.5369478367654787,3.716980884224811,6.41404708432983,6.934747684045738,32.052457004105,4.475744638547633,9.37336652436039
18.87,52.08,1005.25,99.19,449.61,2.9375733593804587,4.3439613257946945,3.9527809979003137,7.216647421067486,6.912991545777383,31.70567772497538,4.597037202757902,9.959417653658269
29.87,73.91,1004.53,74.3,431.8,3.3968546322280186,5.465345368775884,4.302848136796795,8.59709253178073,6.912275049413799,31.69432125791622,4.308110951723713,8.61974477580398
28.07,70.32,1007.17,67.02,430.29,3.334701390373791,5.298112871579842,4.253056253376921,8.38570211729465,6.914899696742457,31.73594176954577,4.2049910823091645,8.18657437515839
15.46,42.07,1017.9,81.12,459.15,2.738256043159276,3.9319206502675,3.7393348976024297,6.486139067272609,6.925496960458294,31.904545130749003,4.395929539842873,9.006664199358163
28.85,66.54,1010.73,43.27,437.79,3.3621099929541085,5.371219600798314,4.197803270590331,8.157205403813245,6.918428121038441,31.791980120778888,3.7674595542367935,6.577993615077473
14.03,49.15,1020.5,83.65,467.16,2.6411978941143697,3.7456641600656084,3.8948768465931756,7.010706098532443,6.9280479822498995,31.945265689926575,4.426641427432833,9.14603739331958
13.2,45.01,1013.96,78.78,466.71,2.580216829592325,3.63318042491699,3.806884687304841,6.708949247087803,6.921618735641291,31.842738575694145,4.36665915754276,8.875809822207774
13.16,43.41,1016.43,79.47,465.6,2.5771819258971713,3.627671429443411,3.770689829311502,6.588626564011653,6.924051766949029,31.881499337390014,4.375379591952088,8.914594774862175
30.98,67.48,1009.96,58.92,439.39,3.4333418349887226,5.565968020030298,4.211831257677767,8.21462111116514,6.917666005090652,31.779867841134898,4.076180591594429,7.675936424958196
32.92,69.05,1000.74,39.61,426.61,3.494080375808869,5.737595315112421,4.234830879855301,8.309632964216892,6.908495005317137,31.63447486524788,3.6790816116338254,6.293647591023825
14.12,41.39,1018.73,76.51,472.88,2.647592232065096,3.757658845611187,3.7230393057606412,6.433506042586733,6.926312032460523,31.91755003129156,4.3374214512437606,8.746999485537884
10.22,41.74,1022.65,83.58,479.01,2.3243465847755584,3.1968734726291563,3.7314599016490546,6.460650122085238,6.930152576424176,31.978899293127647,4.425804257019769,9.142209798511518
13.68,45.08,1024.91,85.26,467.02,2.615934912194404,3.698648401781386,3.8084386891715756,6.714164132637808,6.932360082839386,32.014215592452054,4.445705411337064,9.233634170791044
25.72,49.82,1016.19,60.1,452.33,3.2472688993694185,5.071488933242386,3.9084165098340344,7.058328414008518,6.92381561852865,31.87773517676562,4.096009841541162,7.752418977325722
22.63,70.47,1008.0,82.27,441.92,3.119276459645446,4.757099956906519,4.255187087338931,8.394641147779934,6.915723448631314,31.74901573277509,4.410006521180839,9.07028114227999
24.56,58.82,1011.42,72.47,442.76,3.2011191032789417,4.955804677345546,4.074481933125849,7.669419795525604,6.919110563020271,31.80283006274756,4.28317268312119,8.512931340026183
29.89,71.29,1009.0,55.72,431.45,3.3975239762958465,5.4671747731346585,4.266756065129537,8.443340571124677,6.9167150203536085,31.76476034853718,4.020339148911605,7.464583042608609
28.35,71.14,1010.65,60.38,429.21,3.3446270301737613,5.324471804789654,4.264649766520309,8.434453153583817,6.9183489671930065,31.790721916936707,4.100657924278693,7.770456872024965
13.61,42.34,1017.78,88.84,466.17,2.6108048166633746,3.6891733491393435,3.745732265706719,6.5069193939989765,6.9253790637356865,31.902664465527014,4.4868369990262265,9.425497334358543
22.11,59.8,1016.74,73.9,453.45,3.096029994869355,4.702127178203499,4.091005660956586,7.733045971672482,6.924356709479563,31.886360720533787,4.302712827954156,8.596510920134982
7.19,39.37,1019.67,70.77,480.4,1.9726911717329554,2.6814175355583845,3.673004104955646,6.274551776820397,6.927234324519621,31.932272077006985,4.259435182087693,8.412490713219242
10.94,43.67,1012.36,73.3,477.34,2.392425796993835,3.3075670817082456,3.7766613674974696,6.608328079022711,6.920039517815356,31.817605189580185,4.294560608892605,8.561541917201597
4.86,39.4,1012.73,91.39,488.63,1.5810384379124025,2.2045407685048604,3.673765816303888,6.276941930590086,6.920404933677483,31.823419049498753,4.51513606328411,9.559811713627
